Дата,Цена Bitcoin,Цена Ethereum
2016-03-10,415.8,11.75
2016-03-11,419.1,11.95
2016-03-12,410.4,12.92
2016-03-13,412.4,15.07
2016-03-14,414.3,12.5
2016-03-15,415.1,13.06
2016-03-16,415.9,12.88
2016-03-17,418.2,10.74
2016-03-18,408.2,10.74
2016-03-19,408.7,10.31
2016-03-20,411.5,10.18
2016-03-21,411.1,11.95
2016-03-22,416.2,11.37
2016-03-23,417.0,12.43
2016-03-24,414.7,11.2
2016-03-25,415.7,10.67
2016-03-26,416.5,11.0
2016-03-27,424.6,10.4
2016-03-28,422.2,11.62
2016-03-29,415.0,11.79
2016-03-30,412.4,11.85
2016-03-31,415.7,11.41
2016-04-01,415.6,11.62
2016-04-02,418.5,11.61
2016-04-03,419.1,11.75
2016-04-04,419.3,11.15
2016-04-05,422.1,10.4
2016-04-06,421.3,10.76
2016-04-07,420.1,10.12
2016-04-08,417.7,9.71
2016-04-09,418.0,9.15
2016-04-10,420.3,8.76
2016-04-11,421.4,8.68
2016-04-12,424.7,7.53
2016-04-13,423.5,8.09
2016-04-14,424.0,8.46
2016-04-15,428.7,8.32
2016-04-16,430.0,8.54
2016-04-17,426.3,9.46
2016-04-18,427.7,8.97
2016-04-19,434.9,8.71
2016-04-20,441.2,8.61
2016-04-21,449.3,8.11
2016-04-22,445.3,7.97
2016-04-23,450.1,8.46
2016-04-24,457.6,8.1
2016-04-25,461.7,7.54
2016-04-26,466.0,7.5
2016-04-27,447.0,7.8
2016-04-28,448.5,7.33
2016-04-29,455.0,7.52
2016-04-30,448.5,8.87
2016-05-01,452.2,8.75
2016-05-02,444.2,10.0
2016-05-03,450.3,9.34
2016-05-04,445.8,9.46
2016-05-05,448.1,9.79
2016-05-06,459.6,9.35
2016-05-07,458.5,9.35
2016-05-08,457.9,9.5
2016-05-09,460.4,9.32
2016-05-10,449.4,9.38
2016-05-11,452.5,9.89
2016-05-12,454.4,10.04
2016-05-13,455.4,10.6
2016-05-14,456.4,10.16
2016-05-15,458.1,9.97
2016-05-16,454.9,11.09
2016-05-17,453.3,12.08
2016-05-18,454.2,13.35
2016-05-19,442.7,14.58
2016-05-20,442.1,13.79
2016-05-21,443.6,14.0
2016-05-22,439.6,14.21
2016-05-23,443.7,13.42
2016-05-24,446.1,12.73
